,Image_Name,Real_Caption,Pred_Caption
173,8_193/00036.jpg,one more tutorial before we actually get into the way that you guys want to d,group of probably confusing for now but basically it's within our slider class as you can also you know pretty quick make sur
233,8_193/00340.jpg,one prefs right here all upcase and then all we have to do is set u,dot travis dot travis dot travis and then one and then we got reference so we're just going to just basically the typ
240,8_193/00354.jpg,set up that we created for the most part so i'm going to copy one o,uppercase so starting point starting to lose my voice i'm sorry style one to start first title so we're going to do <end
355,8_150/00188.jpg,now within the way this application setup but i just want to show yo,so there we go to this actually guys have an ide which all this tutorial i should know it down here the cod
397,8_144/00168.jpg,bitmap and then we have some different parameters as you can see we're goin,center y is the top where we were just say just canvas dot draw random and then what what we were just t
453,8_178/00058.jpg,string line for l or l for line and we're just going to set this als,return a method execute and and we have you know this is we want to add to type in our bufferedreader that's goin
483,8_178/00125.jpg,value that we're reading so we're going to say our line plus we want to ad,then we just specified a little bit further by a little bit further by a little bit further you guys want to us
610,8_123/00108.jpg,that or before that as well this is where we're going to use our setting,our edit text in there for the most important one and we're going to do is we just have one so again jus
686,8_17/00123.jpg,something called array list and that's what this is going to refer to s,so let's set up like 200 now let's go to be good good stuff but you'll show you guys don't know set u
851,8_136/00110.jpg,which notification we want to set up so we're just gonna say unique id an,though we're gonna type it a little activity there is again is for a way we have to notify the user has on
899,8_122/00148.jpg,say within our on click method after w,example and that's what we need to type it looks kind of understand what that's what we need at least i all w
965,8_122/00328.jpg,know how to do this as well so we're going to say button because we hav,this to the top there and takes flags and we're going to say view flipper we're going to can access this some differen
1066,8_120/00035.jpg,say string and we're gonna call this city set this equal to null so no,what we're going to quickly just kind of those four and i'm not much the next tutorial i and i'm <end
1090,8_120/00152.jpg,going to be the same concept we're gonna get passed in an int we're gonn,class and that's being passed in and after we set this result to try to be a string or whatever was the curso
1131,8_120/00237.jpg,space degrees actually so i just thought i'd show you guys this before we ge,know these variables and that's gonna say our string and then our cursor dot and what we're just gonna say our string an
1156,8_120/00312.jpg,we're getting passed in so what we're gonna do is we're gonna sa,all of our database and for the most part and all we have to again we're going to learn is equal to whateve
1189,8_108/00096.jpg,our name is our second column that's position 1 and this is positioned to,position after the last row four index array up here a new string the database and then it's going to add a ne
1193,8_108/00106.jpg,our cursor is set to null it's just going to return a null so it',going to pass in our database and we're going to create another method here we can catch you know our database and we'r
1316,8_28/00148.jpg,so we're going to do is we're going to say custom button right in her,reference this package name basically this package name so you know add that again set up this is gonna right here so we'r
1327,8_28/00175.jpg,choose that within this option here and then hit finish and it shoul,want you to show you guys how we can find and scroll down here in you don't open up our orientation we're goin
1370,8_14/00209.jpg,again it's an xml file within our drawable folder but that's fine no,other but since we briefly talked on top one other one that we briefly talked on top of a tutorial we had thi
1423,8_14/00410.jpg,activity i think or the whole application i should say so agai,so what is just right-click from the start activity to keep track of this activity result and basically our start activity result an
1566,8_15/00370.jpg,so there we go um now we have this magic magi,it's centering basically when they only two buttons so to the left of there that would just the left you do is we'r
1655,8_29/00272.jpg,into our rar folder again if you guys don't have a ra,to basically start again this point one two or whatever you guys welcome to your windows one is your setup so you guy
1680,8_109/00033.jpg,android xml to setup a new layout we hit next and then we have a we have t,then at least two so just copy and we're going to add a good and that's basically basically just basically just drag an
1820,8_109/00429.jpg,say context because again we're getting passed into context we're just goin,gonna do is say int ran random position so there we go every time this you know numbers that we have a goo
1843,8_121/00238.jpg,of a concept where you can't understand what's goin,to create a the emulator but since we're gonna hit dot and an update on pause method and a toast so <end
1890,8_135/00152.jpg,those guidelines properly but i'm just gonna change that real quick withi,want to show you guys in the next tutorial i don't know you know hit dot and it's gonna kind of set <end
1975,8_119/00049.jpg,result we need to import that method basically on activity results s,dot set this key and we're going to do again whenever this class again you can see this is going to refer t
2025,8_119/00195.jpg,textview fine view by d r dot id dot tv show results or whatever you guy,and then just hit new text-to-speech and we're going to do it has the on click method to send view and so agai
2074,8_131/00159.jpg,set up a new type of variable along result and this is going to be equa,say our milliseconds so we're just going to set up a a slider because that's going to do is we have some sor
2148,8_125/00167.jpg,you tell me what to do and then that's what we set up within our o,this one as well as for this second points again the gl 10 class and we unlocked our on draw our <end
2351,8_38/00037.jpg,"power but for 330 minutes we're gonna say 180,000 seconds or millisecond",dot the new boston dot travis dot travis and our configuration going to be every year roughly every that this widget underscore confi
2363,8_38/00074.jpg,it's not that great but you can go into more detail there so i'll catch yo,gonna get into the xml layout with some of those four basically what's so this layout these classes that by right-clicking on <end
2390,8_38/00145.jpg,dot get y and both those are returning floats and again this is an intege,you know an error because the second for the most part that's greater than like action is even leave a comment because th
2414,8_38/00198.jpg,button because we're gonna basically display the address so we're gonn,which we can also do is we're going to set up our geo underscore pinpoint and just to set as it's a custo
2501,8_10/00217.jpg,method which is basically that string and all the other good stuff jus,you guys kind of understand and we can just place it within this method that we just copy one and we can jus
2529,8_10/00278.jpg,this code and instead of doing a new view we're going to just sa,that one in the xml stuff like that one in there since we imported the time so we can use the onclicklistener s
2653,8_118/00044.jpg,for this web view type object but let's just make sure we check out ou,again the apk hit this application again with our view i said i save it starts or the text so it's kind <end
2727,8_118/00286.jpg,gonna say metadata oops and we're going to give this ,not going to start first because we're going to make this i can keep point again this by using this metadata the resourc
2778,8_126/00155.jpg,again gonna do just allow us to access that status bar and you know clea,our on create method that's pretty simple up so how we need to set up our edit text that we created our xm
2849,8_126/00422.jpg,good so now what we're gonna do is we're basically going to go into our yo,just kind of a second and now we have our surface view so we're not a surface view so we're just going t
2866,8_126/00496.jpg,there we go we kind of have our scale variables set up now what we'r,just put like sleep we're gonna say case to have our plus our motion event dot get any errors it's gonna get an
2878,8_132/00020.jpg,print a ball again just centered everything is pretty much the sam,again we can still get height there so now when we say motion a common motion our starting y and then we're gonn
2947,8_132/00269.jpg,equal to which is question we're going to say dot set text and then we'r,space to the first type string and then again we're just gonna refer to the same thing we have a little bit overrid
2987,8_12/00102.jpg,the initialize method and just kind of have to refer that prett,are using or whatever our pause so then we can say open clasp right now what we want to show you <end
3010,8_12/00147.jpg,and then we're gonna say jessica alba is and then startactivity perfect a,use the way that won't might already already this is just open and write some buttons there we go but keep all thre
3028,8_12/00225.jpg,protected data protected void on pre execute and again we can refe,about we're going to give it our variable that's fine i don't really tedious thing that through this run for <end
3042,8_13/00039.jpg,variables some for setting up something and we get that f or that string an,to return a resume way with within parentheses and we're going to do is we need to reference it adds our columns an
3140,8_133/00109.jpg,[music] array which is basically going t,let me say public so what we need to close our aren't actually need to close creates progress dialog is going to sa
